image_path,label,dataset_source
data/processed\images\fer_train_angry_Training_10118481.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10120469.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10131352.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10161559.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1021836.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10269675.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10278738.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10290703.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10295477.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10315441.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10316849.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10333072.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10334355.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10345473.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10422050.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10485618.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10503476.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10524198.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10539399.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10592361.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10595751.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10608067.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10740356.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10851653.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10857340.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10882484.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10899258.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10922970.jpg,anger,FER
data/processed\images\fer_train_angry_Training_10967257.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11023881.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11036720.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11102431.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11175213.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11185740.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1119091.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11206889.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1120923.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11247006.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11262281.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11275727.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1127865.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11292723.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11306820.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11319077.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11330391.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1133567.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11350676.jpg,anger,FER
