image_path,label,dataset_source
data/processed\images\fer_train_sad_Training_31275952.jpg,sadness,FER
data/processed\images\raf_train_train_08352_aligned.jpg,happiness,RAF
data/processed\images\ck_42.jpg,sadness,CK+
data/processed\images\fer_train_happy_Training_26270933.jpg,happiness,FER
data/processed\images\fer_train_happy_Training_58656100.jpg,happiness,FER
data/processed\images\fer_train_neutral_Training_88580133.jpg,neutral,FER
data/processed\images\raf_train_train_10176_aligned.jpg,neutral,RAF
data/processed\images\fer_train_angry_Training_64867768.jpg,anger,FER
data/processed\images\fer_train_happy_Training_1889764.jpg,happiness,FER
data/processed\images\raf_train_train_05956_aligned.jpg,happiness,RAF
data/processed\images\fer_train_angry_Training_43401592.jpg,anger,FER
data/processed\images\fer_train_sad_Training_55881751.jpg,sadness,FER
data/processed\images\raf_train_train_00678_aligned.jpg,anger,RAF
data/processed\images\raf_train_train_03363_aligned.jpg,sadness,RAF
data/processed\images\fer_test_sad_PrivateTest_41624395.jpg,sadness,FER
data/processed\images\fer_train_angry_Training_78784277.jpg,anger,FER
data/processed\images\raf_train_train_12020_aligned.jpg,neutral,RAF
data/processed\images\raf_train_train_06902_aligned.jpg,sadness,RAF
data/processed\images\fer_test_angry_PublicTest_3218764.jpg,anger,FER
data/processed\images\fer_train_sad_Training_69571000.jpg,sadness,FER
data/processed\images\raf_train_train_07340_aligned.jpg,anger,RAF
data/processed\images\raf_train_train_12106_aligned.jpg,neutral,RAF
data/processed\images\fer_train_angry_Training_83732141.jpg,anger,FER
data/processed\images\raf_train_train_06640_aligned.jpg,surprise,RAF
data/processed\images\fer_train_fear_Training_11101710.jpg,fear,FER
data/processed\images\fer_train_sad_Training_33737623.jpg,sadness,FER
data/processed\images\ck_627.jpg,disgust,CK+
data/processed\images\fer_train_neutral_Training_31833562.jpg,neutral,FER
data/processed\images\fer_test_angry_PublicTest_46653575.jpg,anger,FER
data/processed\images\fer_train_surprise_Training_90796699.jpg,surprise,FER
data/processed\images\raf_train_train_11818_aligned.jpg,neutral,RAF
data/processed\images\fer_train_sad_Training_93851059.jpg,sadness,FER
data/processed\images\fer_train_neutral_Training_24592089.jpg,neutral,FER
data/processed\images\fer_train_neutral_Training_24022585.jpg,neutral,FER
data/processed\images\fer_train_sad_Training_29082633.jpg,sadness,FER
data/processed\images\fer_train_neutral_Training_92222652.jpg,neutral,FER
data/processed\images\fer_train_sad_Training_35044641.jpg,sadness,FER
data/processed\images\fer_train_sad_Training_29044139.jpg,sadness,FER
data/processed\images\fer_train_surprise_Training_45867116.jpg,surprise,FER
data/processed\images\fer_train_neutral_Training_33179599.jpg,neutral,FER
data/processed\images\fer_train_neutral_Training_91019037.jpg,neutral,FER
data/processed\images\fer_train_happy_Training_41669590.jpg,happiness,FER
data/processed\images\fer_train_angry_Training_67053339.jpg,anger,FER
data/processed\images\raf_train_train_04687_aligned.jpg,happiness,RAF
data/processed\images\fer_test_neutral_PublicTest_61944854.jpg,neutral,FER
data/processed\images\fer_test_sad_PublicTest_11314873.jpg,sadness,FER
data/processed\images\fer_train_neutral_Training_48673631.jpg,neutral,FER
data/processed\images\raf_train_train_05981_aligned.jpg,surprise,RAF
data/processed\images\raf_train_train_10851_aligned.jpg,neutral,RAF
data/processed\images\fer_train_sad_Training_61785624.jpg,sadness,FER
data/processed\images\fer_train_neutral_Training_54656026.jpg,neutral,FER
data/processed\images\raf_test_test_0820_aligned.jpg,anger,RAF
data/processed\images\fer_train_surprise_Training_87518128.jpg,surprise,FER
data/processed\images\fer_train_fear_Training_83365248.jpg,fear,FER
data/processed\images\fer_train_happy_Training_42932161.jpg,happiness,FER
data/processed\images\fer_test_sad_PublicTest_28707949.jpg,sadness,FER
data/processed\images\fer_train_happy_Training_44238669.jpg,happiness,FER
data/processed\images\raf_test_test_1422_aligned.jpg,happiness,RAF
data/processed\images\fer_train_happy_Training_47071880.jpg,happiness,FER
data/processed\images\raf_train_train_01332_aligned.jpg,sadness,RAF
data/processed\images\fer_train_happy_Training_51558430.jpg,happiness,FER
data/processed\images\fer_train_happy_Training_7058285.jpg,happiness,FER
data/processed\images\fer_train_happy_Training_55666829.jpg,happiness,FER
data/processed\images\raf_train_train_00434_aligned.jpg,happiness,RAF
data/processed\images\fer_train_neutral_Training_31328737.jpg,neutral,FER
data/processed\images\fer_test_happy_PrivateTest_11288161.jpg,happiness,FER
data/processed\images\fer_test_fear_PrivateTest_72173742.jpg,fear,FER
data/processed\images\raf_train_train_04388_aligned.jpg,surprise,RAF
data/processed\images\fer_train_happy_Training_45759803.jpg,happiness,FER
data/processed\images\fer_train_surprise_Training_91825546.jpg,surprise,FER
data/processed\images\fer_test_surprise_PublicTest_62398284.jpg,surprise,FER
data/processed\images\fer_train_fear_Training_71055343.jpg,fear,FER
data/processed\images\fer_train_sad_Training_19057329.jpg,sadness,FER
data/processed\images\fer_train_happy_Training_93487051.jpg,happiness,FER
data/processed\images\fer_train_happy_Training_77947880.jpg,happiness,FER
data/processed\images\fer_train_surprise_Training_6580649.jpg,surprise,FER
data/processed\images\fer_train_fear_Training_92579050.jpg,fear,FER
data/processed\images\raf_train_train_03962_aligned.jpg,happiness,RAF
data/processed\images\fer_test_sad_PrivateTest_74333952.jpg,sadness,FER
data/processed\images\fer_train_fear_Training_4778588.jpg,fear,FER
data/processed\images\raf_train_train_01519_aligned.jpg,happiness,RAF
data/processed\images\fer_test_happy_PrivateTest_41686494.jpg,happiness,FER
data/processed\images\fer_test_happy_PublicTest_8121981.jpg,happiness,FER
data/processed\images\raf_train_train_04811_aligned.jpg,happiness,RAF
data/processed\images\raf_train_train_00134_aligned.jpg,anger,RAF
data/processed\images\fer_test_happy_PublicTest_15146220.jpg,happiness,FER
data/processed\images\fer_train_fear_Training_32277724.jpg,fear,FER
data/processed\images\fer_train_happy_Training_59106215.jpg,happiness,FER
data/processed\images\fer_train_neutral_Training_12751834.jpg,neutral,FER
data/processed\images\fer_test_neutral_PublicTest_58081975.jpg,neutral,FER
data/processed\images\raf_train_train_11284_aligned.jpg,neutral,RAF
data/processed\images\raf_test_test_0222_aligned.jpg,happiness,RAF
data/processed\images\raf_test_test_2059_aligned.jpg,happiness,RAF
data/processed\images\raf_train_train_12066_aligned.jpg,neutral,RAF
data/processed\images\fer_train_neutral_Training_96958424.jpg,neutral,FER
data/processed\images\raf_test_test_0094_aligned.jpg,surprise,RAF
data/processed\images\fer_train_happy_Training_49997455.jpg,happiness,FER
data/processed\images\raf_train_train_01200_aligned.jpg,happiness,RAF
data/processed\images\fer_train_angry_Training_61773462.jpg,anger,FER
data/processed\images\fer_train_happy_Training_18520262.jpg,happiness,FER
data/processed\images\fer_test_happy_PrivateTest_77390248.jpg,happiness,FER
data/processed\images\fer_train_happy_Training_50345068.jpg,happiness,FER
data/processed\images\fer_train_happy_Training_61645018.jpg,happiness,FER
data/processed\images\fer_train_angry_Training_74481811.jpg,anger,FER
data/processed\images\raf_train_train_00235_aligned.jpg,happiness,RAF
data/processed\images\raf_train_train_00214_aligned.jpg,sadness,RAF
data/processed\images\fer_train_sad_Training_6745845.jpg,sadness,FER
data/processed\images\fer_train_happy_Training_43720685.jpg,happiness,FER
data/processed\images\fer_train_surprise_Training_14826573.jpg,surprise,FER
data/processed\images\fer_train_happy_Training_90923923.jpg,happiness,FER
data/processed\images\fer_train_happy_Training_10361011.jpg,happiness,FER
data/processed\images\fer_train_disgust_Training_97690817.jpg,disgust,FER
data/processed\images\raf_train_train_00455_aligned.jpg,happiness,RAF
data/processed\images\fer_train_neutral_Training_17976117.jpg,neutral,FER
data/processed\images\raf_train_train_02816_aligned.jpg,surprise,RAF
data/processed\images\raf_train_train_00016_aligned.jpg,happiness,RAF
data/processed\images\fer_train_neutral_Training_44870574.jpg,neutral,FER
data/processed\images\fer_train_neutral_Training_21958714.jpg,neutral,FER
data/processed\images\fer_train_angry_Training_61050899.jpg,anger,FER
data/processed\images\fer_train_neutral_Training_63564567.jpg,neutral,FER
data/processed\images\raf_train_train_00561_aligned.jpg,happiness,RAF
data/processed\images\fer_train_happy_Training_33807960.jpg,happiness,FER
data/processed\images\fer_train_angry_Training_10333072.jpg,anger,FER
data/processed\images\fer_train_sad_Training_8044159.jpg,sadness,FER
data/processed\images\raf_train_train_12173_aligned.jpg,neutral,RAF
data/processed\images\raf_test_test_0491_aligned.jpg,surprise,RAF
